Date,Symbol,Order,Shares
2008-01-02,AAPL,SELL,200
2008-03-05,AAPL,BUY,200
2008-05-05,AAPL,BUY,200
2008-06-04,AAPL,SELL,200
2008-06-11,AAPL,BUY,200
2008-08-12,AAPL,SELL,200
2008-09-11,AAPL,BUY,200
2008-09-12,AAPL,SELL,200
2008-11-12,AAPL,BUY,200
2008-12-12,AAPL,SELL,400
2009-01-14,AAPL,BUY,400
2009-02-13,AAPL,SELL,200
2009-02-17,AAPL,BUY,200
2009-04-17,AAPL,BUY,200
2009-06-17,AAPL,BUY,200
2009-08-17,AAPL,BUY,200
2009-10-15,AAPL,BUY,200
2009-11-13,AAPL,SELL,200
2009-11-24,AAPL,BUY,200
