Date,Symbol,Order,Shares
2008-04-21,AAPL,SELL,200
2008-05-21,AAPL,BUY,200
2008-09-10,AAPL,BUY,200
2008-10-28,AAPL,SELL,200
2009-05-04,AAPL,SELL,200
2009-05-12,AAPL,BUY,200
2009-07-22,AAPL,SELL,200
2009-08-17,AAPL,BUY,200
2009-10-21,AAPL,SELL,200
2009-10-28,AAPL,BUY,200
