Date,Symbol,Order,Shares
2010-04-21,AAPL,SELL,200
2010-05-06,AAPL,BUY,200
2010-09-16,AAPL,SELL,200
2010-11-12,AAPL,BUY,200
2011-07-20,AAPL,SELL,200
2011-08-04,AAPL,BUY,200
2011-09-20,AAPL,SELL,200
2011-09-29,AAPL,BUY,200
